transaction_id,amount,hour,predicted_label,fraud_probability,top_shap_feature,shap_value
203214,3.5,13,0,5.4e-05,V4,-6.565447
142758,83.23,23,0,0.000102,V3,-8.458707
72600,194.0,15,0,0.64192,V14,-1.639134
56875,68.64,13,0,0.0,V3,-6.565248
185675,10.0,11,0,0.000331,V3,-4.46077
86584,1.39,17,0,0.0028,V14,-4.630678
271467,74.26,21,0,7e-05,V12,-4.387159
114411,1.0,20,0,4.1e-05,V14,-4.904998
166649,57.68,8,0,1e-06,V3,-3.773355
140043,14.89,23,0,7e-06,V4,-4.030163
155938,180.06,5,0,7e-06,V14,-5.796592
63536,10.0,14,0,0.029477,V10,-2.400465
207176,10.45,13,0,9e-06,V4,-7.1205
80114,86.29,16,0,0.000128,V4,-5.905577
265359,71.0,20,0,2.3e-05,V1,-4.815314
214149,24.99,14,0,6e-06,V1,-4.74734
52960,0.37,12,0,0.000648,V12,-4.342207
212874,12.6,14,0,5e-06,V4,-5.028958
225828,0.76,16,0,0.215846,V4,-2.150822
7929,15.95,3,0,1e-06,V14,-7.724185
3415,1.0,0,0,2e-06,V4,-6.767604
211456,15.0,14,0,0.001215,V4,-4.565436
235632,4.0,17,0,1e-05,V1,-4.03082
163984,103.0,8,0,4e-06,V4,-4.003701
9449,8.54,3,0,0.004628,V14,-4.841321
228554,60.0,16,0,0.000514,V14,-5.489791
66859,187.99,14,0,0.000438,V12,-4.56041
390,1.0,0,0,0.028547,V3,-2.727541
154140,15.95,4,0,1e-06,V14,-7.56357
112186,29.75,20,0,1.6e-05,V11,-6.136884
40826,7.81,11,0,0.004386,V2,-3.126148
126991,115.1,21,0,0.002522,V4,-5.354368
179821,19.99,10,0,1.5e-05,V1,-6.335986
180079,6.0,10,0,0.000165,V1,-5.73619
96699,2.99,18,0,0.000118,V3,-4.113548
280547,28.15,23,0,4.7e-05,V3,-3.555077
200322,0.89,13,0,7e-05,V1,-6.160652
236092,82.64,17,0,2e-06,V14,-6.517615
44173,48.8,11,0,0.000702,V14,-4.138938
270324,4.99,21,0,0.001751,V1,-4.418763
152286,15.37,3,0,1e-06,V4,-5.630866
121471,29.8,21,0,0.000555,V14,-2.656138
39429,36.0,11,0,8.8e-05,V4,-4.917484
33645,51.52,10,0,0.000999,V12,-3.681432
119001,84.99,20,0,0.000133,V4,-5.151302
154606,23.88,4,0,0.003172,V14,-4.572406
65065,1.0,14,0,2e-06,V12,-7.525576
69482,12.0,14,0,2e-06,V4,-4.802566
131665,74.0,22,0,6e-06,V12,-7.456726
129813,2.42,22,0,0.001779,V14,-2.65478
28133,10.0,9,0,1.2e-05,V4,-7.172892
133041,180.0,22,0,0.000407,V8,-3.94429
32984,10.62,10,0,0.00015,V14,-4.200509
13810,27.11,6,0,0.006297,V3,-7.156342
104224,11.53,19,0,0.0,V12,-5.858748
93942,11.47,17,0,0.00345,V14,-2.43337
179401,89.9,10,0,3e-06,V4,-5.814296
172580,29.8,9,0,0.0,V14,-4.813916
155817,1.98,5,0,0.001736,V3,-4.807832
238946,20.97,17,0,0.000165,V4,-5.329518
25521,670.41,9,0,0.003513,V14,-3.454195
261649,1.98,20,0,3e-06,V4,-6.003064
148332,61.71,0,0,2.3e-05,V14,-2.371436
148833,1.98,1,0,1e-06,V14,-4.197105
146128,15.0,0,0,1.7e-05,V4,-8.486495
168844,101.18,9,0,0.000309,V14,-4.081535
207323,435.0,13,0,0.002112,V4,-7.048015
255754,1.0,19,0,0.000208,V1,-7.20424
121352,13.76,21,0,0.001572,V3,-2.250454
76923,14.93,15,0,0.000193,V14,-4.185058
233095,0.89,16,0,6e-06,V1,-5.479156
35045,24.0,10,0,3.1e-05,V4,-6.02892
2407,1.08,0,0,6.4e-05,V14,-4.909576
187531,22.95,11,0,1.2e-05,V4,-3.692547
261220,12.0,20,0,0.000303,V4,-3.642542
205463,0.77,13,0,2e-05,V1,-6.427994
23300,21.85,9,0,8e-06,V4,-4.824301
76796,178.0,15,0,0.000416,V14,-5.336636
52605,132.3,12,0,7.1e-05,V14,-2.766233
168758,13.73,9,0,0.001744,V14,-2.751954
95034,39.31,18,0,0.001029,V14,-4.64812
132821,1.0,22,0,0.002599,V8,-2.470931
219825,26.08,15,0,1e-06,V4,-5.403026
16694,0.77,7,0,1e-06,V12,-6.064379
138565,283.5,22,0,1e-06,V11,-6.68637
103833,25.87,19,0,0.000728,V3,-3.92234
258688,4.49,20,0,0.00123,V1,-6.474901
197306,202.44,12,0,0.105252,V4,-5.66514
206538,80.0,13,0,0.001315,V18,-3.116702
112902,3.59,20,0,0.000655,V14,-2.985579
89863,1.0,17,0,9.9e-05,V14,-3.489738
239148,12.04,17,0,0.004164,V4,-4.005921
96380,0.0,18,0,0.008919,V12,-3.75904
241292,1.0,17,0,4e-06,V4,-4.073268
6167,1.0,1,0,1e-06,V14,-6.599221
9471,136.9,3,0,0.001008,V3,-7.35749
268205,0.79,21,0,4e-06,V4,-5.880228
176339,124.65,10,0,0.000107,V4,-4.438546
206161,6.0,13,0,0.0,V4,-4.851964
37,1.8,0,0,5e-06,V12,-4.656856
98816,82.26,18,0,7.5e-05,V4,-4.200522
22877,11.87,9,0,1.2e-05,V14,-5.133226
147864,1018.43,0,0,0.014824,V14,-2.966399
96200,33.33,18,0,5.1e-05,V3,-5.788486
206340,19.15,13,0,4.4e-05,V4,-5.337224
253454,0.89,19,0,6.2e-05,V1,-6.649361
239430,9.86,17,0,9.6e-05,V1,-6.228959
48373,464.32,12,0,0.001407,V18,-2.773539
158050,99.0,6,0,3.1e-05,V4,-6.88756
55269,2.69,13,0,0.029149,V8,-2.957861
262525,35.85,20,0,2.3e-05,V1,-4.879604
178860,144.0,10,0,0.00024,V14,-4.2665
3773,80.18,0,0,0.0,V12,-6.893943
188594,12.06,11,0,0.0,V1,-5.568747
267584,442.0,21,0,2.3e-05,V4,-3.337528
230589,29.99,16,0,1e-06,V4,-4.761826
150659,53.1,2,0,0.0,V14,-6.44383
156575,9.39,6,0,7e-06,V1,-6.335739
1565,23.88,0,0,0.000117,V4,-2.981004
168208,3.48,9,0,0.000234,V1,-7.670868
160709,53.0,7,0,1e-06,V12,-6.523966
283641,8.99,23,0,7e-06,V4,-5.937076
199206,189.81,12,0,0.000291,V11,-2.584903
174612,28.56,9,0,5.1e-05,V1,-5.375028
177538,19.0,10,0,0.005851,V12,-2.389215
17731,0.0,8,0,0.000355,V24,-3.482237
43468,100.76,11,0,0.000164,V12,-4.773118
265077,20.0,20,0,5e-06,V1,-3.545918
60995,22.44,13,0,0.000544,V14,-4.71038
31974,44.11,10,0,8.4e-05,V4,-6.613871
64509,15.0,14,0,9e-06,V4,-6.997388
11816,13.95,5,0,1e-06,V14,-8.191036
244136,5.8,18,0,0.000493,V4,-5.273114
115056,49.99,20,0,2.8e-05,V4,-6.932585
102908,28.39,19,0,0.004288,V12,-6.334224
179250,10.77,10,0,0.0,V4,-6.013622
208828,8.41,14,0,0.000183,V14,-4.716346
236930,1.0,17,0,0.000142,V4,-7.725315
129449,150.03,21,0,0.000111,V4,-5.760373
213167,29.0,14,0,9e-06,V4,-4.801128
161345,0.75,7,0,1.1e-05,V2,-3.184059
273620,1.0,22,0,4e-06,V1,-4.564938
12276,395.52,5,0,0.000146,V14,-6.626412
281323,324.91,23,0,0.036487,V14,-3.046506
64758,113.75,14,0,2e-06,V3,-7.20193
203235,103.16,13,0,1.5e-05,V1,-4.573635
142177,1.29,23,0,3.1e-05,V3,-2.635544
105500,18.94,19,0,5e-06,V4,-5.306584
194164,150.0,12,0,0.0,V14,-6.068983
120164,22.73,21,0,6e-06,V4,-5.59831
36900,14.4,10,0,1.3e-05,V12,-6.539971
253074,12.0,19,0,9.1e-05,V4,-4.927702
33712,1.18,10,0,0.003526,V14,-2.485327
47577,303.0,12,0,0.001389,V4,-4.72982
219117,1.98,15,0,0.01724,V12,-2.604764
36866,106.0,10,0,0.032471,V3,-4.31048
211838,855.8,14,0,4e-05,V4,-5.538952
255630,0.78,19,0,0.002354,V4,-4.367509
179842,15.6,10,0,0.0,V4,-5.910626
26358,17.18,9,0,1e-06,V3,-4.253854
256903,4.74,19,0,9.3e-05,V4,-2.874258
169530,68.42,9,0,0.002969,V11,-2.411691
275348,19.9,22,0,0.000143,V4,-5.171328
146572,5.0,0,0,0.0,V4,-6.399812
275192,1.29,22,0,1e-06,V1,-5.752603
274628,118.74,22,0,5.5e-05,V4,-4.973006
94417,49.89,18,0,0.000646,V12,-4.496316
221368,185.54,15,0,1.5e-05,V14,-3.81927
284432,20.0,23,0,0.006995,V1,-4.837206
169447,52.13,9,0,2e-06,V1,-5.543251
172262,1286.22,9,0,0.00019,V12,-3.022812
45649,25.0,11,0,3e-06,V3,-8.998338
284364,165.0,23,0,1.7e-05,V14,-6.405724
65462,1.0,14,0,0.0,V14,-5.45471
126734,1.0,21,0,0.0,V12,-5.640838
164299,4.49,8,0,0.0,V1,-6.171824
60291,29.99,13,0,0.000207,V3,-3.561381
142555,11.83,23,0,5e-06,V3,-5.006891
27343,4.49,9,0,4e-06,V3,-4.004763
24626,7.0,9,0,1e-06,V4,-7.120893
30369,52.0,9,0,0.020365,V12,-3.234692
210857,33.65,14,0,0.001328,V11,-2.395936
141636,2.15,23,0,1e-06,V4,-5.256902
72892,60.0,15,0,2.8e-05,V4,-5.609934
59900,46.64,13,0,0.001823,V14,-3.991694
275425,154.0,22,0,0.000611,V4,-4.604011
156183,30.0,5,0,5e-06,V14,-6.347484
251344,109.85,19,0,0.005158,V1,-3.63415
189656,22.69,11,0,1.5e-05,V10,-2.768935
38785,159.0,10,0,0.048119,V12,-4.274472
38727,49.99,10,0,2e-06,V14,-6.301026
110086,0.99,19,0,2e-06,V3,-3.641342
210698,2.99,14,0,1.7e-05,V1,-5.676829
62274,11.5,13,0,3.9e-05,V3,-3.488568
25645,15.0,9,0,5e-06,V4,-5.768737
20741,4.0,8,0,1.8e-05,V4,-5.53399
260087,9.99,20,0,0.000501,V1,-5.430862
61589,184.65,13,0,6.5e-05,V4,-5.245672
199897,188.9,12,0,4e-06,V14,-5.029767
258701,47.92,20,0,1e-06,V14,-6.154851
38696,0.79,10,0,6e-06,V14,-4.226138
1622,0.89,0,0,0.000361,V12,-2.60048
64028,154.0,14,0,7.9e-05,V4,-4.996454
271325,71.88,21,0,4e-05,V1,-4.710946
216686,78.9,15,0,0.008377,V14,-4.319396
131329,55.14,22,0,0.330563,V3,-4.160252
75596,1.0,15,0,0.000477,V8,-3.944935
153906,13.7,3,0,2e-06,V1,-5.754205
129318,0.0,21,0,0.000149,V3,-3.511782
228198,12.0,16,0,0.006886,V4,-6.174942
59090,137.0,13,0,0.000141,V14,-3.332404
86140,58.96,16,0,2e-06,V4,-6.852991
52599,45.0,12,0,0.000122,V3,-3.871883
16836,0.89,7,0,4.5e-05,V14,-3.794218
82888,42.0,16,0,2e-05,V3,-6.464619
82673,18.47,16,0,3.9e-05,V3,-3.816494
159374,1.0,7,0,1e-06,V1,-5.628374
269520,35.9,21,0,0.001122,V3,-4.241372
163060,45.85,8,0,1e-06,V1,-4.857134
86801,49.99,17,0,7.2e-05,V12,-2.648484
43331,11.9,11,0,1.4e-05,V8,-3.814983
46033,17.99,11,0,0.000323,V3,-2.435322
148958,17.69,1,0,0.0,V14,-6.530813
206178,8.65,13,0,1e-06,V12,-6.220115
195150,14.0,12,0,0.001145,V4,-5.214848
221544,8.99,15,0,1e-06,V1,-6.079542
87927,250.0,17,0,0.012797,V12,-2.392556
115705,8.43,20,0,0.00012,V3,-3.936756
17495,29.69,7,0,1.2e-05,V14,-5.130879
181669,83.85,10,0,7e-06,V1,-5.130247
94675,3.99,18,0,0.0,V4,-6.171612
121632,40.0,21,0,0.000427,V4,-6.48592
243590,8.0,18,0,0.192132,V11,-2.790449
30440,13.09,9,0,0.0,V3,-3.907546
255493,523.79,19,0,0.006157,V18,-2.204056
216669,53.12,15,0,0.018581,V18,-3.243519
244824,109.0,18,0,0.008475,V14,-4.468467
239685,2500.0,17,0,0.000211,V14,-3.677022
7643,36.16,2,0,5.2e-05,V14,-7.167034
79464,171.98,16,0,1e-04,V12,-4.389296
120232,89.99,21,0,2.4e-05,V3,-4.580802
99912,13.53,18,0,0.001714,V3,-3.596289
219591,7.17,15,0,1e-06,V1,-6.079308
276213,0.99,22,0,3.1e-05,V1,-5.713787
42895,28.62,11,0,1e-06,V4,-5.680242
211374,47.9,14,0,4e-05,V14,-4.825459
209180,15.0,14,0,1e-06,V14,-5.192656
58726,15.0,13,0,0.000125,V3,-4.376302
230398,785.29,16,0,3e-06,V14,-4.261051
249271,1.98,18,0,3e-06,V1,-6.129996
161529,37.0,7,0,0.000366,V12,-3.193236
211389,1.0,14,0,0.000101,V4,-6.333718
262191,96.97,20,0,0.000905,V11,-4.28247
48851,99.9,12,0,0.000196,V4,-4.190194
135589,0.89,22,0,1.4e-05,V14,-4.394297
130147,101.45,22,0,0.002307,V3,-3.587042
59006,156.14,13,0,0.00378,V14,-4.971716
129275,1.0,21,0,2e-06,V12,-5.727538
147362,70.0,0,0,2e-06,V1,-4.38185
238312,6.99,17,0,0.000243,V4,-6.00323
95967,15.35,18,0,0.0,V3,-8.149098
46194,24.99,11,0,2.2e-05,V4,-6.815614
225020,410.0,16,0,0.000124,V4,-3.732372
110852,207.7,20,0,0.038035,V3,-3.739736
28740,4.99,9,0,6.9e-05,V4,-2.954819
53599,42.99,12,0,0.044208,V3,-4.159249
105504,38.09,19,0,0.015782,V15,-2.181976
175830,10.76,10,0,1e-06,V12,-5.244821
21057,96.8,8,0,2.6e-05,V4,-5.986254
269633,1.0,21,0,3.2e-05,V14,-3.461617
52602,189.95,12,0,1e-06,V4,-4.573692
156589,758.84,6,0,0.000263,V14,-6.101042
231525,1.79,16,0,2e-06,V1,-4.703596
193875,26.1,12,0,0.094416,V12,-1.581746
117583,171.32,20,0,0.011403,V12,-6.472492
147358,40.0,0,0,0.002041,V1,-3.504987
206194,1.0,13,0,0.000143,V1,-5.459502
229472,75.25,16,0,0.000731,V14,-6.353941
197004,390.0,12,0,0.000285,V14,-4.36288
167822,4.64,9,0,0.0,V12,-4.910834
159828,1.0,7,0,3e-06,V1,-5.942216
104702,5.35,19,0,0.000113,V4,-5.835124
118166,139.78,20,0,0.008958,V3,-4.26636
158999,4.16,7,0,0.0,V4,-5.669166
246122,1.98,18,0,2e-06,V1,-6.770365
53053,1.0,12,0,1.1e-05,V4,-4.668356
103272,12.95,19,0,0.013443,V14,-4.56101
40791,41.5,11,0,0.002426,V12,-3.43034
112165,0.76,20,0,0.003504,V3,-4.207486
71215,80.34,15,0,0.001957,V4,-5.859064
91167,339.0,17,0,0.000294,V3,-4.042015
103974,21.5,19,0,4.6e-05,V4,-6.079329
88269,67.0,17,0,0.0,V4,-4.36144
244488,100.96,18,0,5.8e-05,V2,-2.854542
89887,134.9,17,0,0.000123,V4,-7.613564
29832,41.08,9,0,1.4e-05,V3,-3.937813
192832,15.0,12,0,0.000184,V4,-5.342032
12541,36.0,6,0,5e-06,V14,-7.010721
236107,10.68,17,0,1e-06,V4,-5.363324
277694,1317.54,22,0,0.000395,V10,-2.915014
16003,1.13,7,0,0.000361,V10,-2.408709
139644,13.34,23,0,4.9e-05,V14,-4.088229
133289,100.0,22,0,2e-06,V3,-3.905969
64334,1007.46,14,0,0.006043,V5,-1.808753
201493,67.92,13,0,0.000204,V4,-6.307486
149054,1.79,1,0,9e-06,V1,-6.374108
19401,80.0,8,0,0.000137,V12,-2.886004
77718,1.98,15,0,3e-06,V14,-3.508191
157775,181.14,6,0,0.0,V14,-5.723199
50598,125.05,12,0,0.000484,V3,-7.712126
210791,108.99,14,0,9.5e-05,V1,-3.889716
50202,16.53,12,0,5.9e-05,V12,-3.513665
187519,854.42,11,0,0.003789,V14,-3.499562
208208,9.5,14,0,4e-06,V14,-4.037701
262907,1.98,20,0,0.000416,V12,-3.935478
133090,0.77,22,0,0.0,V4,-4.978042
7610,0.26,2,0,3e-06,V14,-7.14035
227818,9.99,16,0,1e-06,V1,-6.314367
221148,0.0,15,0,0.000747,V8,-3.326802
149476,1.0,1,0,4e-06,V14,-6.137593
27562,11.5,9,0,3e-06,V4,-5.254999
117944,1.98,20,0,0.0,V3,-6.111614
100567,59.0,18,0,0.02528,V10,-2.363036
83039,6.0,16,0,0.035976,V3,-4.334404
117272,17.99,20,0,8.5e-05,V3,-4.028611
115673,6.28,20,0,4.6e-05,V4,-5.8283
244702,1.0,18,0,6e-05,V1,-5.121621
142265,1.0,23,0,1.1e-05,V7,-2.64963
169533,94.35,9,0,1.7e-05,V14,-4.146114
49604,246.76,12,0,1.5e-05,V3,-6.675962
243242,130.34,18,0,0.004564,V4,-5.222143
269877,9.03,21,0,0.0,V4,-4.552607
17183,52.33,7,0,1.6e-05,V25,-3.79032
243131,27.75,18,0,0.000629,V4,-6.580676
240998,9.99,17,0,0.002133,V14,-4.755522
40802,18.96,11,0,0.000911,V3,-4.793913
11744,2.69,5,0,1.9e-05,V3,-4.468754
282541,40.0,23,0,3e-06,V1,-3.870176
222086,105.88,15,0,4.4e-05,V4,-5.484534
268489,2.69,21,0,0.000143,V1,-6.686812
103811,39.0,19,0,0.000578,V14,-3.78619
224495,1.98,15,0,3e-06,V1,-6.670668
10203,19.08,4,0,2e-06,V14,-7.76851
262189,52.9,20,0,6e-05,V3,-5.191498
268322,7.56,21,0,3.5e-05,V3,-8.856109
96277,268.76,18,0,0.026487,V12,-3.800856
212614,15.0,14,0,4e-06,V4,-4.786847
225982,22.99,16,0,1.9e-05,V1,-4.2469
228806,31.46,16,0,0.000282,V14,-5.235183
61530,54.95,13,0,5e-06,V12,-3.753713
128637,1.0,21,0,0.390079,V12,-1.710296
223004,282.0,15,0,0.000638,V4,-7.931606
215469,5.39,14,0,3.4e-05,V1,-5.869442
75483,343.47,15,0,3.7e-05,V4,-5.084347
267199,2.0,21,0,0.00586,V14,-1.831735
260245,0.99,20,0,1e-06,V1,-6.30488
62400,150.0,13,0,0.002153,V14,-4.402372
215841,1.98,14,0,7e-06,V14,-5.12561
